fips_code,run_start_time_day,any_out,num_out_per_day,minutes_out,customers_out,customers_out_mean,cust_minute_area,customers_total,pct_out_max,pct_out_area
06073,2021-07-15,1,1,1440,1981,412.1666666666667,593520,1362929,0.00145348730564835,0.00030241242696183487
06073,2021-07-16,1,3,1335,2071,675.5903614457832,841110,1362929,0.001519521559817129,0.00042856536669677337
06073,2021-07-17,1,2,1350,2350,555.9111111111112,750480,1362929,0.0017242277477403445,0.0003823872458995785
06073,2021-07-18,1,1,1440,1987,517.4895833333334,745185,1362929,0.001457889589259602,0.0003796893186169884
06073,2021-07-19,1,3,1245,657,174.97590361445782,217845,1362929,0.00048205005543208783,0.00011099716126078468
06073,2021-07-20,1,2,1380,2944,502.29347826086956,693165,1362929,0.002160053825254287,0.0003531839027075756
06073,2021-07-21,1,1,1440,1610,264.125,380340,1362929,0.0011812794356859382,0.0001937921931369866
06073,2021-07-22,1,2,1380,2059,591.7173913043479,816570,1362929,0.0015107169925946253,0.0004160616583842592
06073,2021-07-23,1,3,1245,1198,321.7875,386145,1362929,0.0008789892943799714,0.0001967499774382965
06073,2021-07-24,1,2,1365,952,402.68888888888887,543630,1362929,0.0006984956663186417,0.0002769922962482516
06073,2021-07-25,1,1,1440,2774,75.95833333333333,109380,1362929,0.0020353224562688153,5.573168766189092e-05
06073,2021-07-26,1,2,1410,2722,625.1595744680851,881475,1362929,0.001997169331637965,0.0004491322854430911
06073,2021-07-27,1,1,1440,11226,1154.8645833333333,1663005,1362929,0.008236672636652386,0.0008473402380706062
06073,2021-07-28,1,1,1440,1332,470.9895833333333,678225,1362929,0.0009773069616979314,0.0003455716206297858
06073,2021-07-29,1,1,1440,1458,353.9578947368421,504390,1362929,0.0010697549175342222,0.0002569985915138157
06073,2021-07-30,1,1,1440,2113,464.5208333333333,668910,1362929,0.0015503375450958928,0.0003408254086114048
06073,2021-07-31,1,1,1440,906,156.77083333333334,225750,1362929,0.0006647448252990435,0.00011502494505094054
06073,2021-08-01,1,1,1440,3883,700.9375,1009350,1362929,0.002849011210415216,0.0005142876114603181
06073,2021-08-02,1,1,1440,1837,234.59375,337815,1362929,0.0013478324989783033,0.00017212470348785592
06073,2021-08-03,1,1,1440,668,188.42708333333334,271335,1362929,0.0004901209087193831,0.0001382515768123896
06073,2021-08-04,1,1,1440,1459,333.4166666666667,480120,1362929,0.0010704886314694309,0.00024463245456415314
06073,2021-08-05,1,3,1245,3152,311.64102564102564,364620,1362929,0.0023126663237776875,0.0001857824826776254
06073,2021-08-06,1,1,1440,3152,1127.1770833333333,1623135,1362929,0.0023126663237776875,0.0008270255334895166
06073,2021-08-07,1,1,1440,1990,839.3263157894737,1196040,1362929,0.001460090731065228,0.0006094105660187239
06073,2021-08-08,1,2,1380,563,87.77173913043478,121125,1362929,0.00041308094552247403,6.171604194593653e-05
06073,2021-08-09,1,2,1290,393,174.32558139534885,224880,1362929,0.0002883495765370023,0.00011458165954841864
06073,2021-08-10,1,2,1215,662,292.9382716049383,355920,1362929,0.0004857186251081311,0.00018134962765240645
06073,2021-08-11,1,2,1410,10675,999.0,1408590,1362929,0.007832396258352416,0.0007177097999969184
06073,2021-08-12,1,1,1440,6303,2072.2708333333335,2984070,1362929,0.004624598933620166,0.0015204539879431235
06073,2021-08-13,1,1,1425,3667,818.8172043010753,1142250,1362929,0.002690529000410146,0.0005820032933972839
06073,2021-08-14,1,2,1125,2076,589.8,663525,1362929,0.0015231901294931725,0.0003380816242078641
06073,2021-08-15,1,2,1200,693,97.2125,116655,1362929,0.0005084637570995995,5.943847160539299e-05
06073,2021-08-16,1,2,1065,454,201.07042253521126,214140,1362929,0.0003331061265847304,0.00010910937644832073
06073,2021-08-17,1,1,1440,5733,446.0104166666667,642255,1362929,0.004206381990551232,0.0003272440579565529
